code,system
7B0B000,readv2
7B17100,readv2
7B0B.11,readv2
4G8Z.00,readv2
4G41.00,readv2
4G8..00,readv2
7B42400,readv2
K12..12,readv2
7B29400,readv2
7B17111,readv2
K14y.00,readv2
7B05000,readv2
K120.00,readv2
7B17011,readv2
4G7..00,readv2
Kyu3100,readv2
7B07211,readv2
K12z.00,readv2
K14z.00,readv2
K100600,readv2
7B1Cy00,readv2
K120.12,readv2
7B18000,readv2
K121.11,readv2
7B07200,readv2
7B07.12,readv2
7B07.11,readv2
7B0Bz00,readv2
7B18.00,readv2
4G6..00,readv2
K140z00,readv2
7B42300,readv2
7B18100,readv2
4G44.00,readv2
7B19100,readv2
7B19y00,readv2
7B19000,readv2
K140100,readv2
7B18011,readv2
K140000,readv2
Kyu3000,readv2
K14..00,readv2
7B1C.00,readv2
K12..11,readv2
7B25000,readv2
K120z00,readv2
7B1C000,readv2
7B0By00,readv2
K1A..00,readv2
7B29100,readv2
7B19200,readv2
4G43.00,readv2
K141.00,readv2
7B43900,readv2
7B17200,readv2
7B18200,readv2
K120000,readv2
7B1Cz00,readv2
7B19z00,readv2
7B17000,readv2
7B19.00,readv2
7B0B.00,readv2
K140.00,readv2
4G4..00,readv2
7B07400,readv2
N20.0,readv2
N21.0,readv2
N22.8,readv2
N21.9,readv2
N21.1,readv2
N20.9,readv2
N21.8,readv2
M09.4,readv2
M39.1,readv2
M44.2,readv2
M14.1,readv2
M06.1,readv2
M14.9,readv2
M75.4,readv2
M14,readv2
M14.8,readv2
M09.3,readv2
4G82.11,readv2
K120.13,readv2
K121.12,readv2
K140.11,readv2
4G4..11,readv2
4G4Z.00,readv2
C341111,readv2
7B07100,readv2
M09.2,readv2
K120.11,readv2
C341100,readv2
Kyu3.00,readv2
23381.0,readv2
29477.0,readv2
7682.0,readv2
29242.0,readv2
52569.0,readv2
27786.0,readv2
58149.0,readv2
52721.0,readv2
8190.0,readv2
1256.0,readv2
36972.0,readv2
71131.0,readv2
38804.0,readv2
93608.0,readv2
14276.0,readv2
65920.0,readv2
2939.0,readv2
31773.0,readv2
6147.0,readv2
10587.0,readv2
3906.0,readv2
9950.0,readv2
34139.0,readv2
34584.0,readv2
94420.0,readv2
2105.0,readv2
17685.0,readv2
3308.0,readv2
72447.0,readv2
49783.0,readv2
15201.0,readv2
23917.0,readv2
5729.0,readv2
6087.0,readv2
59834.0,readv2
27592.0,readv2
28595.0,readv2
18190.0,readv2
28514.0,readv2
4216.0,readv2
60234.0,readv2
21401.0,readv2
74021.0,readv2
29464.0,readv2
39511.0,readv2
1912.0,readv2
45765.0,readv2
40272.0,readv2
28790.0,readv2
66743.0,readv2
39048.0,readv2
8777.0,readv2
8399.0,readv2
7119.0,readv2
106912.0,readv2
41619.0,readv2
20813.0,readv2
51305.0,readv2
58004.0,readv2
35743.0,readv2
3669.0,readv2
47869.0,readv2
28953.0,readv2
9162.0,readv2
56462.0,readv2
33746.0,readv2
45245.0,readv2
4928.0,readv2
41871.0,readv2
24933.0,readv2
4139.0,readv2
640.0,readv2
8677.0,readv2
43350.0,readv2
1858.0,readv2
67386.0,readv2
45673.0,readv2
46291.0,readv2
24047.0,readv2
102293.0,readv2
102036.0,readv2
44648.0,readv2
43744.0,readv2
24165.0,readv2
2315.0,readv2
33747.0,readv2
2410.0,readv2
2258.0,readv2
9323.0,readv2
36792.0,readv2
6048.0,readv2
23897.0,readv2
34097.0,readv2
90777.0,readv2
5366.0,readv2
94219.0,readv2
61904.0,readv2
36157.0,readv2
66113.0,readv2
38461.0,readv2
3449.0,readv2
24994.0,readv2
101583.0,readv2
16025.0,readv2
10282.0,readv2
6978.0,readv2
6979.0,readv2
32858.0,readv2
37073.0,readv2
64699.0,readv2
6770.0,readv2
7B07.00,readv2
7B07z00,readv2
7B07y00,readv2
R080000,readv2
N23.X,readv2
K122.00,readv2
7B19400,readv2
K12..00,readv2
7B1C300,readv2
7B1C100,readv2
K121.00,readv2
N20.2,readv2
N20.1,readv2
M28,readv2
M28.5,readv2
M28.8,readv2
M28.2,readv2
M26.3,readv2
M31.9,readv2
M31,readv2
M28.3,readv2
M31.8,readv2
M28.9,readv2
M31.1,readv2
M27.1,readv2
M27.2,readv2
M28.1,readv2
M27.3,readv2
M26.1,readv2
M26.2,readv2
M28.4,readv2
7B19211,readv2
7B19212,readv2
7B2B400,readv2
7B19300,readv2
1A52.11,readv2
R080100,readv2
1A52.00,readv2
R080z00,readv2
R080.00,readv2
4G42.11,readv2
4G42.00,readv2
4G83.11,readv2
4G81.11,readv2
4G81.00,readv2
4G82.00,readv2
4G83.00,readv2
7B0B200,readv2
7B0B100,readv2
14D3.00,readv2
K112.00,readv2
N13.2,readv2
7B1C200,readv2
7B07011,readv2
7B07000,readv2
M09.1,readv2
7B1F000,readv2
M86.1,readv2
K121.13,readv2
M23.1,readv2
M09,readv2
M09.8,readv2
M09.9,readv2
M16.4,readv2